code,name,stock_price,expectd_value,EPS,BPS,PER,industry_PER,PBR,dividend_yield
049520,유아이엘,4250,6425,380,8057,11.18,23.08,0.53,9.41%
049550,잉크테크,3605,-3519,-177,2248,N/A,N/A,1.6,
049630,재영솔루텍,884,-70,84,748,10.5,23.08,1.18,
049720,고려신용정보,5170,4461,463,1622,11.17,23.63,3.19,4.84%
049830,승일,8180,5432,-96,23785,N/A,9.38,0.34,
049950,미래컴퍼니,27850,24392,1430,15080,19.47,153.45,1.85,0.77%
049960,쎌바이오텍,14450,20060,769,14320,18.78,N/A,1.01,4.15%
050090,휘닉스소재,536,152,-28,397,N/A,153.45,1.35,
050110,캠시스,2725,2750,31,1580,87.66,23.08,1.72,0.00%
050120,라이브플렉스,705,-1018,-161,687,N/A,N/A,1.03,
050320,에이앤티앤,3220,-613,-128,270,N/A,25.49,11.94,0.00%
050540,한국코퍼레이션,282,-3106,-264,974,N/A,23.63,0.29,
050760,에스폴리텍,3840,5204,658,3562,5.84,35.46,1.08,1.30%
050860,아세아텍,3140,4673,74,5933,42.36,N/A,0.53,1.59%
050890,쏠리드,5960,-233,112,2366,53.23,58.75,2.52,
050960,수산아이앤티,5390,10420,430,11277,12.53,17.66,0.48,1.39%
051160,지어소프트,9620,1543,-110,572,N/A,29.93,16.83,
051360,토비스,7050,22786,1319,12706,5.34,153.45,0.55,3.40%
051370,인터플렉스,10650,-8889,-1212,9337,N/A,25.96,1.14,
051380,피씨디렉트,8840,9710,477,4705,18.52,N/A,1.88,1.13%
051390,YW,3530,4471,174,7905,20.25,N/A,0.45,1.42%
051490,나라엠앤디,3470,-198,76,5755,45.5,N/A,0.6,1.73%
051500,CJ프레시웨이,17950,-1088,434,16967,41.39,29.93,1.06,1.39%
051780,큐로홀딩스,896,74,-105,278,N/A,N/A,3.22,
051980,센트럴바이오,890,-826,-201,537,N/A,81.51,1.66,
052020,에스티큐브,10350,-1304,-432,1031,N/A,25.96,10.04,
052190,이에스에이,295,-1006,-775,766,N/A,N/A,0.38,0.00%
052220,iMBC,2090,2376,93,2270,22.51,N/A,0.92,
052260,SK바이오랜드,24200,10747,723,10382,33.46,43.2,2.33,1.45%
052300,W홀딩컴퍼니,263,14,-106,429,N/A,661.11,0.61,0.00%
052330,코텍,9730,36578,1975,21380,4.93,25.49,0.46,4.11%
052400,코나아이,13050,-1313,-341,5790,N/A,25.96,2.25,
052420,오성첨단소재,2345,1589,265,2813,8.86,153.45,0.83,
052460,아이크래프트,3375,1746,-15,2505,N/A,58.75,1.35,
052600,한네트,3050,2605,98,3033,31.14,17.66,1.01,3.28%
052670,제일바이오,7910,2250,136,2360,58.08,121.34,3.35,
052710,아모텍,21600,8494,37,20412,579.16,23.08,1.06,
052770,아이톡시,4460,-4539,-940,703,N/A,36.04,6.34,0.00%
052790,액토즈소프트,8110,17954,1833,10811,4.42,36.04,0.75,
052860,아이앤씨,3970,2281,328,3228,12.11,58.75,1.23,2.52%
052900,KMH하이텍,925,1816,48,1380,19.45,16.12,0.67,
053030,바이넥스,10500,5018,268,5146,39.19,121.34,2.04,
053050,지에스이,1370,-139,143,2495,9.57,13.5,0.55,2.92%
053060,세동,608,-4024,-105,884,N/A,10.36,0.69,
053110,소리바다,654,-672,-209,339,N/A,N/A,1.93,0.00%
053160,프리엠스,5400,6828,90,8593,59.92,N/A,0.63,0.93%
053260,금강철강,2855,5544,235,6669,12.14,11.87,0.43,3.50%
053270,구영테크,1470,-1204,127,2906,11.57,10.36,0.51,2.04%
053280,예스24,5260,-2329,0,3715,17154.78,18.26,1.42,3.80%
053290,NE능률,3245,1821,49,4295,65.76,N/A,0.76,0.00%
053300,한국정보인증,3405,4768,229,2735,14.86,17.66,1.25,2.94%
053350,이니텍,4165,9989,-443,5976,N/A,56.92,0.7,0.48%
053450,세코닉스,5100,-6155,-1483,9388,N/A,25.96,0.54,0.98%
053580,웹케시,47350,16495,1383,8177,34.24,56.92,5.79,0.42%
053590,한국테크놀로지,1425,-234,-171,343,N/A,N/A,4.15,0.00%
053610,프로텍,14200,43145,3502,19970,4.05,16.12,0.71,2.82%
053620,태양,7140,9161,857,19915,8.34,13.46,0.36,2.10%
053660,현진소재,400,-3899,-1492,778,N/A,N/A,0.51,0.00%
053700,삼보모터스,4100,-5796,475,14230,8.63,10.36,0.29,1.71%
053800,안랩,54000,29165,1912,23679,28.25,56.92,2.28,1.67%
053950,경남제약,6960,1088,-293,3588,N/A,121.34,1.94,0.00%
053980,오상자이엘,11250,-404,-833,2144,N/A,56.92,5.25,
054040,한국컴퓨터,2210,2304,472,6151,4.68,153.45,0.36,5.88%
